test_idx,predicted_proba,is_borderline,shap_top_features,lime_top_features,jaccard_similarity
1777,0.5000313520431519,True,"['credit.policy', 'days.with.cr.line', 'inq.last.6mths', 'log.annual.inc', 'fico']","['int.rate', 'installment', 'days.with.cr.line', 'revol.util', 'pub.rec']",0.1111111111111111
1435,0.4999504089355469,True,"['log.annual.inc', 'installment', 'inq.last.6mths', 'credit.policy', 'int.rate']","['log.annual.inc', 'int.rate', 'inq.last.6mths', 'installment', 'days.with.cr.line']",0.6666666666666666
422,0.4995998442173004,True,"['log.annual.inc', 'days.with.cr.line', 'inq.last.6mths', 'credit.policy', 'int.rate']","['log.annual.inc', 'int.rate', 'days.with.cr.line', 'inq.last.6mths', 'revol.util']",0.6666666666666666
1807,0.49908697605133057,True,"['credit.policy', 'days.with.cr.line', 'log.annual.inc', 'int.rate', 'installment']","['log.annual.inc', 'installment', 'int.rate', 'days.with.cr.line', 'fico']",0.6666666666666666
1564,0.4990538954734802,True,"['purpose_encoded', 'log.annual.inc', 'dti', 'inq.last.6mths', 'credit.policy']","['log.annual.inc', 'inq.last.6mths', 'int.rate', 'installment', 'revol.util']",0.25
1288,0.5013238787651062,True,"['log.annual.inc', 'installment', 'int.rate', 'credit.policy', 'inq.last.6mths']","['log.annual.inc', 'int.rate', 'fico', 'days.with.cr.line', 'revol.util']",0.25
275,0.4985388517379761,True,"['purpose_encoded', 'log.annual.inc', 'inq.last.6mths', 'credit.policy', 'dti']","['log.annual.inc', 'int.rate', 'inq.last.6mths', 'installment', 'revol.util']",0.25
633,0.5015634894371033,True,"['int.rate', 'inq.last.6mths', 'credit.policy', 'purpose_encoded', 'log.annual.inc']","['int.rate', 'inq.last.6mths', 'revol.util', 'revol.bal', 'purpose_encoded']",0.42857142857142855
494,0.5016174912452698,True,"['int.rate', 'credit.policy', 'inq.last.6mths', 'installment', 'days.with.cr.line']","['int.rate', 'installment', 'days.with.cr.line', 'revol.util', 'purpose_encoded']",0.42857142857142855
614,0.5016598105430603,True,"['int.rate', 'inq.last.6mths', 'fico', 'days.with.cr.line', 'credit.policy']","['int.rate', 'days.with.cr.line', 'inq.last.6mths', 'fico', 'revol.util']",0.6666666666666666
237,0.4982856512069702,True,"['pub.rec', 'revol.util', 'log.annual.inc', 'int.rate', 'credit.policy']","['installment', 'int.rate', 'fico', 'revol.util', 'days.with.cr.line']",0.25
525,0.5017379522323608,True,"['log.annual.inc', 'inq.last.6mths', 'days.with.cr.line', 'purpose_encoded', 'fico']","['log.annual.inc', 'inq.last.6mths', 'int.rate', 'revol.util', 'fico']",0.42857142857142855
1004,0.501747190952301,True,"['inq.last.6mths', 'fico', 'credit.policy', 'installment', 'purpose_encoded']","['inq.last.6mths', 'int.rate', 'fico', 'revol.util', 'purpose_encoded']",0.42857142857142855
291,0.5019871592521667,True,"['inq.last.6mths', 'purpose_encoded', 'credit.policy', 'installment', 'revol.util']","['installment', 'int.rate', 'inq.last.6mths', 'fico', 'days.with.cr.line']",0.25
52,0.4975293278694153,True,"['inq.last.6mths', 'int.rate', 'credit.policy', 'days.with.cr.line', 'fico']","['int.rate', 'inq.last.6mths', 'revol.util', 'purpose_encoded', 'fico']",0.42857142857142855
1887,0.05125504732131958,False,"['int.rate', 'fico', 'revol.util', 'installment', 'inq.last.6mths']","['int.rate', 'fico', 'inq.last.6mths', 'revol.util', 'purpose_encoded']",0.6666666666666666
1044,0.0509452223777771,False,"['int.rate', 'fico', 'revol.util', 'installment', 'log.annual.inc']","['int.rate', 'fico', 'revol.util', 'revol.bal', 'purpose_encoded']",0.42857142857142855
751,0.048993393778800964,False,"['int.rate', 'fico', 'installment', 'revol.util', 'inq.last.6mths']","['int.rate', 'log.annual.inc', 'installment', 'fico', 'inq.last.6mths']",0.6666666666666666
1407,0.04736863449215889,False,"['int.rate', 'fico', 'revol.util', 'installment', 'revol.bal']","['int.rate', 'installment', 'fico', 'revol.util', 'purpose_encoded']",0.6666666666666666
431,0.04732997342944145,False,"['int.rate', 'log.annual.inc', 'revol.util', 'fico', 'installment']","['int.rate', 'log.annual.inc', 'inq.last.6mths', 'installment', 'fico']",0.6666666666666666
1139,0.047083064913749695,False,"['int.rate', 'fico', 'revol.util', 'installment', 'inq.last.6mths']","['int.rate', 'log.annual.inc', 'installment', 'fico', 'inq.last.6mths']",0.6666666666666666
272,0.04571649059653282,False,"['fico', 'int.rate', 'log.annual.inc', 'revol.util', 'inq.last.6mths']","['int.rate', 'log.annual.inc', 'fico', 'inq.last.6mths', 'installment']",0.6666666666666666
724,0.04565977305173874,False,"['int.rate', 'dti', 'log.annual.inc', 'fico', 'purpose_encoded']","['int.rate', 'log.annual.inc', 'fico', 'revol.util', 'installment']",0.42857142857142855
1576,0.0454346127808094,False,"['int.rate', 'installment', 'fico', 'revol.util', 'revol.bal']","['int.rate', 'log.annual.inc', 'installment', 'fico', 'inq.last.6mths']",0.42857142857142855
236,0.04318775609135628,False,"['int.rate', 'log.annual.inc', 'fico', 'revol.util', 'installment']","['int.rate', 'log.annual.inc', 'installment', 'fico', 'revol.util']",1.0
14,0.043177373707294464,False,"['int.rate', 'installment', 'fico', 'revol.util', 'inq.last.6mths']","['int.rate', 'installment', 'fico', 'inq.last.6mths', 'revol.util']",1.0
54,0.04165049269795418,False,"['int.rate', 'log.annual.inc', 'fico', 'revol.util', 'installment']","['int.rate', 'log.annual.inc', 'fico', 'inq.last.6mths', 'revol.util']",0.6666666666666666
1214,0.036973293870687485,False,"['int.rate', 'log.annual.inc', 'installment', 'revol.util', 'purpose_encoded']","['int.rate', 'log.annual.inc', 'installment', 'fico', 'inq.last.6mths']",0.42857142857142855
1725,0.036596138030290604,False,"['int.rate', 'log.annual.inc', 'fico', 'revol.util', 'inq.last.6mths']","['int.rate', 'log.annual.inc', 'fico', 'inq.last.6mths', 'installment']",0.6666666666666666
1380,0.033577125519514084,False,"['int.rate', 'log.annual.inc', 'revol.util', 'fico', 'installment']","['int.rate', 'log.annual.inc', 'fico', 'inq.last.6mths', 'revol.util']",0.6666666666666666
